case,pc3p_energy,gc3p_energy,gc3p_energy_gain_pct,pc3p_time,gc3p_time,gc3p_time_speedup,pc3p_iters,gc3p_iters,pc3p_converged,gc3p_converged,pc3p_rank1_gap,gc3p_rank1_gap,gc3p_relaxed_energy,gc3p_relaxed_rank1_gap,gc3p_recovery_source,gc3p_num_candidates,gc3p_feasible_candidates,pc3p_max_violation,gc3p_max_violation,pc3p_status,gc3p_status
1,22.00650029462317,22.006505609791127,-2.4152717997686827e-05,2.4485677999909967,19.312581600010162,0.12678614649787207,9,12,1,1,5.253775813936795e-07,-6.661881307628366e-16,22.006522391985666,2.3005388082246837e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
2,30.04504591460879,30.0451364939588,-0.00030147848756531103,1.9175895000080345,18.507684099997277,0.10361045118596533,7,8,1,1,1.9943874873176055e-07,2.6647525230513464e-15,30.04515829103901,7.243218685929514e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
3,30.721473887001967,30.721537473425904,-0.00020697712672138784,1.350674799992703,17.204819400009,0.07850560756202976,4,6,1,1,5.018239193307258e-07,1.998621461133331e-15,30.721545550740416,2.7369044790123374e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
4,5.403540692652322,5.4035366185512315,7.539687997182598e-05,1.4783732000068994,18.185043100005714,0.08129610646930141,5,11,1,1,8.279248518750862e-07,9.436895179918239e-16,5.403536860275054,9.881049774219413e-06,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
5,32.268329716535675,32.268328057275774,5.142069377647559e-06,1.4774588000000222,18.276645799996913,0.08083861864851984,5,10,1,1,4.2874602236489173e-07,1.776357792312316e-15,32.268335016838556,2.129556169170156e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
6,18.09441947623273,18.094432323937525,-7.100368603714987e-05,1.5043462000030559,17.03970449999906,0.08828475869420968,5,9,1,1,3.9149043081291826e-07,2.705089714307254e-16,18.094446230780417,7.226329582759573e-06,gaussian-35,50,50,0.0,0.0,optimal,optimal
7,16.633874271873896,16.633872627343024,9.886637625665226e-06,1.4727797999948962,17.71322410000721,0.08314577807403772,5,12,1,1,7.228597869881223e-07,-8.326680096226963e-16,16.63387301842073,1.5400021616204315e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
8,54.86183981858808,54.86194414743232,-0.0001901665065963606,1.4659776000044076,16.906383199995616,0.08671148539947844,5,9,1,1,2.944477789746931e-07,1.9847392264025435e-15,54.861968733555145,2.9697327610639145e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
9,25.941704139296796,25.9418110372934,-0.00041207006306016424,1.2782621999940602,16.585678300005384,0.07707023956889633,4,7,1,1,2.835523788428037e-07,-4.107824979354842e-15,25.941819859415947,6.426123989651842e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
10,13.73623345559091,13.736229626338078,2.7877022064648246e-05,1.4485828000033507,18.55481710001186,0.07807044349698412,5,11,1,1,3.532952082989527e-07,-1.9428987634234965e-16,13.736229676695551,1.1793794528032644e-05,gaussian-5,50,50,0.0,0.0,optimal,optimal
11,29.158455721978182,29.15849388853718,-0.00013089362263077456,1.5186296999891056,18.459435500000836,0.08226847998623993,5,8,1,1,8.077138775689581e-07,-8.328849559363118e-16,29.158500247167872,2.4027249476782676e-05,dominant-eigenvector,50,50,0.0,0.0,optimal,optimal
