iteration,objective_value,w_rank1_gap,b_rank1_gap
0,24.512166442059158,0.033333333333333215,0.03333333333332611
1,22.02203561618738,2.4631614248260547e-08,1.0373991833645135e-07
2,22.007084067066074,2.08702567450203e-08,6.289175761224274e-08
3,22.006798047738922,1.7791567744063208e-07,2.1791398033837628e-07
4,22.006694953608125,4.8892061871308456e-08,6.115003104491048e-08
5,22.006628465772216,2.9455033856429225e-07,3.0170933212610836e-07
6,22.006573585531495,2.672292104544116e-07,2.6263949861766855e-07
7,22.006534862654053,2.2429134066692669e-07,1.9996715234164656e-07
8,22.006506918071103,3.377624785139144e-07,3.306844829586197e-07
9,22.00650080208847,3.0012469928730745e-07,2.87377410587299e-07
