case_index,sample_id,iterations,converged,status_kind,elapsed_s
1,0,3,True,optimal,0.554214
2,1,3,True,optimal,0.425304
3,2,4,True,optimal,0.431722
4,3,3,True,optimal,0.442931
5,4,3,True,optimal,0.404752
6,5,3,True,optimal,0.624931
7,6,6,True,optimal,0.391075
8,7,3,True,optimal,0.391550
9,8,3,True,optimal,0.423866
10,9,3,True,optimal,0.413847
11,10,3,True,optimal,0.392302
12,11,3,True,optimal,0.374017
13,12,3,True,optimal,0.409294
14,13,5,True,optimal,0.467545
15,14,3,True,optimal,0.410912
16,15,3,True,optimal,0.417961
17,16,3,True,optimal,0.411097
18,17,3,True,optimal,0.393572
19,18,3,True,optimal,0.478351
20,19,4,True,optimal,0.624895
21,20,4,True,optimal,0.494772
22,21,3,True,optimal,0.438230
23,22,3,True,optimal,0.430673
24,23,3,True,optimal,0.424059
25,24,3,True,optimal,0.415002
26,25,3,True,optimal,0.397870
27,26,3,True,optimal,0.401991
28,27,3,True,optimal,0.413171
29,28,4,True,optimal,0.422690
30,29,3,True,optimal,0.427434
